id,record_id,reshoot_idx_id,data_type_id,state_id,Date
1,10088883,1,1,1,23-03-2016 07:13:19:024
3,10088937,1,1,1,23-03-2016 03:27:27:232
5,10088938,1,1,1,23-03-2016 03:28:08:864
7,10088939,1,1,1,23-03-2016 03:28:56:112
9,10088940,1,1,1,23-03-2016 03:29:34:432
11,10088941,1,1,1,23-03-2016 01:35:47:392
13,10088942,1,1,1,23-03-2016 01:35:03:744
15,10088948,1,1,1,23-03-2016 08:08:04:080
17,10088949,1,1,1,23-03-2016 08:08:41:712
19,10088950,1,1,1,23-03-2016 08:09:23:952
21,10088951,1,1,1,23-03-2016 08:10:00:768
23,10088952,1,1,1,23-03-2016 08:10:57:616
25,10088953,1,1,1,23-03-2016 08:11:36:064
27,10088954,1,1,1,23-03-2016 07:50:09:136
29,10088955,1,1,1,23-03-2016 07:50:50:576
31,10088956,1,1,1,23-03-2016 07:51:30:816
33,10088957,1,1,1,23-03-2016 07:51:08:576
35,10088958,1,1,1,23-03-2016 07:52:03:232
39,10088960,1,1,1,23-03-2016 07:53:19:792
41,10088961,1,1,1,23-03-2016 07:54:02:432
43,10088962,1,1,1,23-03-2016 07:54:40:064
45,10088963,1,1,1,23-03-2016 07:55:34:064
47,10088964,1,1,1,23-03-2016 07:54:20:432
49,10088965,1,1,1,23-03-2016 07:55:16:064
51,10088966,1,1,1,23-03-2016 07:57:30:192
53,10088967,1,1,1,23-03-2016 07:58:19:440
55,10088968,1,1,1,23-03-2016 07:59:45:920
57,10088969,1,1,1,23-03-2016 08:00:25:072
59,10088970,1,1,1,23-03-2016 08:01:06:288
61,10088971,1,1,1,23-03-2016 08:02:00:288
63,10088973,1,1,1,23-03-2016 01:23:06:800
65,10088974,1,1,1,23-03-2016 01:36:33:008
67,10088975,1,1,1,23-03-2016 01:37:21:776
70,7576723,1,1,1,23-03-2016 04:55:47:232
72,7576724,1,1,1,23-03-2016 04:56:24:272
74,7576725,1,1,1,23-03-2016 04:57:03:104
76,7576726,1,1,1,23-03-2016 04:57:37:632
78,7576727,1,1,1,23-03-2016 04:58:13:360
